Title,Date,US,Other,Total,US Rank,World Rank,Budget
Iron Man,2008/05/02,319034126,266762121,585796247,89,190,140000000
The Incredible Hulk,2008/06/13,134806913,129964083,264770996,494,625,137000000
Iron Man 2,2010/05/07,312433331,311500000,623933331,95,172,170000000
Thor,2011/05/06,181030624,268295994,449326618,280,290,150000000
Captain America: The First Avenger,2011/07/22,176654505,193915269,370569774,298,394,140000000
The Avengers,2012/05/04,623357910,897180626,1520538536,12,10,220000000
Iron Man 3,2013/05/03,409013994,806563211,1215577205,39,25,200000000
Thor: The Dark World,2013/11/08,206362140,438421000,644783140,222,164,150000000
Captain America: The Winter Soldier,2014/04/04,259766572,454654931,714421503,134,134,170000000
Guardians of the Galaxy,2014/08/01,333718600,439631547,773350147,79,114,170000000
Avengers: Age of Ultron,2015/05/01,459005868,946012180,1405018048,25,15,250000000
Ant-Man,2015/07/17,180202163,339109802,519311965,283,233,130000000
Captain America: Civil War,2016/05/06,408084349,746962067,1155046416,42,29,250000000
Doctor Strange,2016/11/04,232641920,445154156,677796076,174,155,165000000
Guardians of the Galaxy Vol. 2,2017/05/05,389813101,473942950,863756051,50,88,200000000
Spider-Man: Homecoming,2017/07/07,334201140,545965784,880166924,80,78,175000000
Thor: Ragnarok,2017/11/03,315058289,540243517,855301806,97,92,180000000
Black Panther,2018/02/16,700426566,674533163,1374959729,6,17,200000000
Avengers: Infinity War,2018/04/27,678815482,1373599557,2052415039,8,6,325000000
Ant-Man and the Wasp,2018/07/06,216648740,406025399,622674139,204,179,162000000
Captain Marvel,2019/03/08,426829839,704586607,1131416446,33,33,150000000
Avengers: Endgame,2019/04/26,858373000,1941066100,2799439100,2,2,356000000
Spider-Man: Far From Home,2019/07/02,391283774,746838016,1138121790,49,32,160000000
Black Widow,2021/07/09,183651655,196100000,379751655,290,409,200000000
Shang-Chi and the Legend of the Ten Rings,2021/09/03,224543292,207700000,432243292,193,331,150000000
Eternals,2021/11/05,164870234,237194665,402064899,370,377,236000000
Spider-Man: No Way Home,2021/12/17,814866759,1113174146,1928040905,3,7,200000000
Doctor Strange in the Multiverse of Madness,2022/05/06,411331607,544444197,955775804,44,68,172000000
Thor: Love and Thunder,2022/07/08,343256830,417671251,760928081,77,123,250000000
Black Panther: Wakanda Forever,2022/11/11,453829060,405379776,859208836,30,93,250000000
Ant-Man and the Wasp: Quantumania,2023/02/17,214504909,261566271,476071180,223,286,388000000
Guardians of the Galaxy Vol. 3,2023/05/05,358995815,486559962,845555777,70,99,250000000
The Marvels,2023/11/10,84500223,121636602,206136825,1031,922,375000000
Deadpool & Wolverine,2024/07/26,636745858,701327787,1338073645,12,21,200000000
Captain America: Brave New World,2025/02/14,200500001,214601576,415101577,254,358,180000000
Thunderbolts*,2025/05/02,190274328,192162589,382436917,275,411,180000000
The Fantastic Four: First Steps,2025/07/25,274286610,247572118,521858728,136,253,200000000
